Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
carballo,org.vectomatic.svg.chess,ChessConstants,whitesVsBlacks,0,1,0,25,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,whitesVsComputer,0,1,0,26,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,blacksVsComputer,0,1,0,27,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,computerVsComputer,0,1,0,29,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,white,0,1,0,31,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,black,0,1,0,32,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,infoTab,0,1,0,34,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,settingsTab,0,1,0,35,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,aboutTab,0,1,0,36,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,actions,0,1,0,38,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,status,0,1,0,39,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mode,0,1,0,40,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,reflectionTime,0,1,0,41,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,player,0,1,0,42,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,history,0,1,0,43,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,fen,0,1,0,44,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,advanced,0,1,0,45,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,undo,0,1,0,47,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,redo,0,1,0,48,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,restart,0,1,0,49,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,setFen,0,1,0,50,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,thinking,0,1,0,52,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,userMove,0,1,0,53,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,whitesWin,0,1,0,54,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,blacksWin,0,1,0,55,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,draw,0,1,0,56,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,confirmRestart,0,1,0,57,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,confirmYes,0,1,0,58,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,confirmNo,0,1,0,59,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,waitMessage,0,1,0,60,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt1s,0,1,0,62,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt3s,0,1,0,63,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt5s,0,1,0,64,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt7s,0,1,0,65,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt10s,0,1,0,66,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt15s,0,1,0,67,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,mt30s,0,1,0,68,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,standard,0,1,0,70,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,chess960,0,1,0,72,0,,
carballo,org.vectomatic.svg.chess,ChessConstants,about,0,1,0,74,0,,
carballo,org.vectomatic.svg.chess,Resources,getBoard,0,1,0,26,0,,
carballo,org.vectomatic.svg.chess,Resources,getCss,0,1,0,28,0,,
carballo,org.vectomatic.svg.chess,MoveListener,doMove,0,1,1,5,0,,
carballo,org.vectomatic.svg.chess,Main,getHeight,3,1,0,133,0,,
carballo,org.vectomatic.svg.chess,Main,onModuleLoad,48,1,0,137,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,run,18,1,0,176,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,updateUI,26,6,0,209,0,,
carballo,org.vectomatic.svg.chess,Main,getMode,3,1,0,240,0,,
carballo,org.vectomatic.svg.chess,Main,nextMove,0,10,0,244,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,computerMove,9,1,0,286,0,,
carballo,org.vectomatic.svg.chess,Main,run,3,1,0,292,0,,
carballo,org.vectomatic.svg.chess,Main,bestMove,4,1,2,298,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,info,3,1,1,306,0,,
carballo,org.vectomatic.svg.chess,Main,restart,12,2,0,314,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,updateFen,7,1,1,330,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,modeChange,4,1,1,339,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,restart,3,1,1,345,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,undo,3,1,1,350,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,undo,14,4,0,355,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,redo,3,1,1,372,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,redo,12,4,0,377,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,onKeyDown,44,14,1,391,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,doMove,7,1,1,438,0,org.vectomatic.svg.chess.Main,org.vectomatic.svg.chess.Main
carballo,org.vectomatic.svg.chess,Main,log,0,1,1,447,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,ChessBoard,23,3,1,87,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,addPiece,18,2,2,116,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,removePiece,6,2,1,145,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,getPiece,13,4,1,158,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,update,7,1,5,179,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,updateSquare,27,7,3,190,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,update,7,2,0,226,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,onMouseDown,5,1,1,238,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,onMouseDown_,15,2,1,246,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,onMouseUp,14,3,1,265,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,onMouseMove,12,2,1,282,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,getLocalCoordinates,5,1,1,298,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,getX,3,1,1,304,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,getY,3,1,1,308,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,getAlgebraic,12,2,1,312,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,pieceOfMovingColor,4,1,1,334,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,up,9,2,0,377,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,down,9,2,0,387,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,left,9,2,0,397,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,right,9,2,0,407,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,enter,20,4,0,417,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,doMove,10,2,2,435,0,,
carballo,org.vectomatic.svg.chess,ChessBoard,setPossibleDestinySquares,9,3,1,448,0,org.vectomatic.svg.chess.ChessBoard,org.vectomatic.svg.chess.ChessBoard
carballo,org.vectomatic.svg.chess,ChessBoard,setMoveListener,3,1,1,462,0,,
carballo,org.vectomatic.svg.chess,ChessCss,whiteSquare,0,1,0,23,0,,
carballo,org.vectomatic.svg.chess,ChessCss,blackSquare,0,1,0,25,0,,
carballo,org.vectomatic.svg.chess,ChessCss,blueSquare,0,1,0,27,0,,
carballo,org.vectomatic.svg.chess,ChessCss,greenSquare,0,1,0,29,0,,
carballo,org.vectomatic.svg.chess,ChessCss,yellowSquare,0,1,0,31,0,,
carballo,org.vectomatic.svg.chess,ChessCss,redSquare,0,1,0,33,0,,
carballo,org.vectomatic.svg.chess,ChessCss,text,0,1,0,35,0,,
carballo,org.vectomatic.svg.chess,ChessCss,categoryLabel,0,1,0,37,0,,
carballo,com.alonsoruibal.chess.util,StringUtils,padRight,3,1,2,6,0,,
carballo,com.alonsoruibal.chess.util,StringUtils,padLeft,3,1,2,10,0,,
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,getKey,79,19,1,131,0,,
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKeyPieceIndex,29,13,2,28,0,,
carballo,com.alonsoruibal.chess.hash,ZobristKey,getKey,23,8,1,58,0,com.alonsoruibal.chess.hash.ZobristKey,com.alonsoruibal.chess.hash.ZobristKey
carballo,com.alonsoruibal.chess.pgn,GameNodeComment,GameNodeComment,3,1,1,7,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeComment,toString,3,1,0,11,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,add,3,1,1,9,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,get,3,1,1,13,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,size,3,1,0,17,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeVariation,toString,3,1,0,21,0,,
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,setBoard,15,4,2,10,0,,
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,3,1,3,29,0,com.alonsoruibal.chess.pgn.PgnImportExport,com.alonsoruibal.chess.pgn.PgnImportExport
carballo,com.alonsoruibal.chess.pgn,PgnImportExport,getPgn,68,15,6,33,0,,
carballo,com.alonsoruibal.chess.pgn,PgnParser,parsePgn,3,1,1,16,0,com.alonsoruibal.chess.pgn.PgnParser,com.alonsoruibal.chess.pgn.PgnParser
carballo,com.alonsoruibal.chess.pgn,PgnParser,parsePgn,167,41,2,20,0,com.alonsoruibal.chess.pgn.PgnParser,com.alonsoruibal.chess.pgn.PgnParser
carballo,com.alonsoruibal.chess.pgn,PgnParser,isAlphaNumeric,3,1,1,205,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeResult,GameNodeResult,3,1,1,7,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeResult,toString,3,1,0,11,0,,
carballo,com.alonsoruibal.chess.pgn,NumericAnnotationGlyphs,translate,79,38,1,5,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getId,3,1,0,21,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setId,3,1,1,25,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getEvent,3,1,0,29,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setEvent,3,1,1,33,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getSite,3,1,0,37,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setSite,3,1,1,41,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getRound,3,1,0,45,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setRound,3,1,1,49,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getWhite,3,1,0,53,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setWhite,3,1,1,57,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getBlack,3,1,0,61,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setBlack,3,1,1,65,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getWhiteElo,3,1,0,69,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setWhiteElo,3,1,1,73,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getBlackElo,3,1,0,77,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setBlackElo,3,1,1,81,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getResult,3,1,0,85,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setResult,14,4,1,89,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getEco,3,1,0,101,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setEco,3,1,1,105,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getDate,3,1,0,109,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setDate,3,1,1,113,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getEventDate,3,1,0,117,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setEventDate,3,1,1,121,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getWhiteFideId,3,1,0,125,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setWhiteFideId,3,1,1,129,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getBlackFideId,3,1,0,133,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setBlackFideId,3,1,1,137,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getFenStartPosition,3,1,0,141,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setFenStartPosition,3,1,1,145,0,,
carballo,com.alonsoruibal.chess.pgn,Game,getPv,3,1,0,149,0,,
carballo,com.alonsoruibal.chess.pgn,Game,setPv,3,1,1,153,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeMove,GameNodeMove,5,1,3,9,0,,
carballo,com.alonsoruibal.chess.pgn,GameNodeMove,toString,3,1,0,15,0,,
carballo,com.alonsoruibal.chess.pgn,PgnFile,getGameNumber,37,7,2,12,0,,
carballo,com.alonsoruibal.chess.search,SearchObserver,info,0,1,1,5,0,,
carballo,com.alonsoruibal.chess.search,SearchObserver,bestMove,0,1,2,7,0,,
carballo,com.alonsoruibal.chess.search,SearchStats,print,28,7,1,35,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getDepth,3,1,0,93,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setDepth,3,1,1,97,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getSelDepth,3,1,0,101,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setSelDepth,3,1,1,105,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getTime,3,1,0,109,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setTime,3,1,1,113,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getNodes,3,1,0,117,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setNodes,3,1,1,121,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getPv,3,1,0,125,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setPv,3,1,1,129,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getMultiPv,3,1,0,133,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setMultiPv,3,1,1,137,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getScore,3,1,0,141,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setScore,3,1,1,145,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getCurrMove,3,1,0,149,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setCurrMove,3,1,1,153,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getCurrMoveNumber,3,1,0,157,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setCurrMoveNumber,3,1,1,161,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getHashFull,3,1,0,165,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setHashFull,3,1,1,169,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getNps,3,1,0,173,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setNps,3,1,1,177,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getTbHits,3,1,0,181,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setTbHits,3,1,1,185,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getCpuLoad,3,1,0,189,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setCpuLoad,3,1,1,193,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getString,3,1,0,197,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setString,3,1,1,201,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getRefutation,3,1,0,205,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setRefutation,3,1,1,209,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getCurrLine,3,1,0,213,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setCurrLine,3,1,1,217,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,setScore,5,1,3,221,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,isMate,3,1,0,227,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,getMateIn,9,2,0,231,0,,
carballo,com.alonsoruibal.chess.search,SearchStatusInfo,toString,46,11,0,240,0,com.alonsoruibal.chess.search.SearchStatusInfo,com.alonsoruibal.chess.search.SearchStatusInfo
carballo,com.alonsoruibal.chess.search,Node,Node,6,1,2,31,0,com.alonsoruibal.chess.search.Node,com.alonsoruibal.chess.search.Node
carballo,com.alonsoruibal.chess.search,Node,clear,6,1,0,40,0,,
carballo,com.alonsoruibal.chess.search,Node,destroy,5,1,0,49,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,SearchEngine,17,4,1,103,0,com.alonsoruibal.chess.search.SearchEngine,com.alonsoruibal.chess.search.SearchEngine
carballo,com.alonsoruibal.chess.search,SearchEngine,init,26,7,0,125,0,com.alonsoruibal.chess.search.SearchEngine,com.alonsoruibal.chess.search.SearchEngine
carballo,com.alonsoruibal.chess.search,SearchEngine,clear,7,2,0,155,0,com.alonsoruibal.chess.search.SearchEngine,com.alonsoruibal.chess.search.SearchEngine
carballo,com.alonsoruibal.chess.search,SearchEngine,clearHistory,5,2,0,165,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,destroy,14,3,0,171,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,setObserver,3,1,1,186,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,getBoard,3,1,0,190,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,getBestMove,3,1,0,194,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,getBestMoveScore,3,1,0,198,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,getNodeCount,3,1,0,202,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,getConfig,3,1,0,206,0,,
carballo,com.alonsoruibal.chess.search,SearchEngine,setConfig,3,1,1,210,0,,
